Z (um),Deflection (um)
0.1,-0.014631
0.0999,-0.014594
0.0998,-0.014562
0.0997,-0.014568
0.0996,-0.014565
0.0995,-0.014548
0.0994,-0.014528
0.0993,-0.014548
0.0992,-0.014565
0.0991,-0.014568
0.099,-0.014597
0.0989,-0.014629
0.0988,-0.014594
0.0987,-0.014585
0.0986,-0.014594
0.0985,-0.014617
0.0984,-0.014582
0.0983,-0.014516
0.0982,-0.014562
0.0981,-0.014588
0.098,-0.014588
0.0979,-0.014603
0.0978,-0.014614
0.0977,-0.014588
0.0976,-0.014594
0.0975,-0.014585
0.0974,-0.014562
0.0973,-0.014559
0.0972,-0.014562
0.0971,-0.0146
0.097,-0.014542
0.0969,-0.014545
0.0968,-0.014568
0.0967,-0.014574
0.0966,-0.014582
0.0965,-0.014548
0.0964,-0.01458
0.0963,-0.014571
0.0962,-0.014603
0.0961,-0.014585
0.096,-0.014568
0.0959,-0.014557
0.0958,-0.014562
0.0957,-0.014594
0.0956,-0.014568
0.0955,-0.014606
0.0954,-0.014588
0.0953,-0.014603
0.0952,-0.014551
0.0951,-0.014568
0.095,-0.01458
0.0949,-0.014591
0.0948,-0.014536
0.0947,-0.014539
0.0946,-0.014557
0.0945,-0.014562
0.0944,-0.014568
0.0943,-0.014571
0.0942,-0.014562
0.0941,-0.014594
0.094,-0.014554
0.0939,-0.014582
0.0938,-0.014571
0.0937,-0.014574
0.0936,-0.014568
0.0935,-0.014548
0.0934,-0.014588
0.0933,-0.014608
0.0932,-0.014571
0.0931,-0.014562
0.093,-0.014562
0.0929,-0.014536
0.0928,-0.014536
0.0927,-0.014562
0.0926,-0.014565
0.0925,-0.014559
0.0924,-0.01458
0.0923,-0.014557
0.0922,-0.014568
0.0921,-0.014591
0.092,-0.014594
0.0919,-0.014574
0.0918,-0.014585
0.0917,-0.014585
0.0916,-0.014597
0.0915,-0.014594
0.0914,-0.014582
0.0913,-0.01462
0.0912,-0.014623
0.0911,-0.014582
0.091,-0.014571
0.0909,-0.01464
0.0908,-0.014588
0.0907,-0.014588
0.0906,-0.014629
0.0905,-0.0146
0.0904,-0.014603
0.0903,-0.014611
0.0902,-0.014629
0.0901,-0.014646
0.09,-0.014617
0.0899,-0.014591
0.0898,-0.014597
0.0897,-0.014614
0.0896,-0.014643
0.0895,-0.014643
0.0894,-0.014646
0.0893,-0.014623
0.0892,-0.014606
0.0891,-0.014631
0.089,-0.014634
0.0889,-0.014608
0.0888,-0.014646
0.0887,-0.014626
0.0886,-0.014603
0.0885,-0.014603
0.0884,-0.014606
0.0883,-0.014585
0.0882,-0.014603
0.0881,-0.014657
0.088,-0.01466
0.0879,-0.014634
0.0878,-0.014617
0.0877,-0.014649
0.0876,-0.01466
0.0875,-0.014654
0.0874,-0.014666
0.0873,-0.014631
0.0872,-0.014614
0.0871,-0.014614
0.087,-0.014643
0.0869,-0.014606
0.0868,-0.014631
0.0867,-0.014677
0.0866,-0.014669
0.0865,-0.014637
0.0864,-0.014652
0.0863,-0.014646
0.0862,-0.014643
0.0861,-0.014623
0.086,-0.014637
0.0859,-0.014629
0.0858,-0.01464
0.0857,-0.014643
0.0856,-0.014634
0.0855,-0.014626
0.0854,-0.014611
0.0853,-0.014643
0.0852,-0.01464
0.0851,-0.014657
0.085,-0.01466
0.0849,-0.014666
0.0848,-0.014672
0.0847,-0.014675
0.0846,-0.014657
0.0845,-0.01468
0.0844,-0.01462
0.0843,-0.01462
0.0842,-0.014597
0.0841,-0.014646
0.084,-0.014623
0.0839,-0.014585
0.0838,-0.014629
0.0837,-0.01466
0.0836,-0.014652
0.0835,-0.014637
0.0834,-0.014634
0.0833,-0.014643
0.0832,-0.014649
0.0831,-0.014629
0.083,-0.014654
0.0829,-0.01466
0.0828,-0.014637
0.0827,-0.014698
0.0826,-0.014675
0.0825,-0.014657
0.0824,-0.014672
0.0823,-0.014652
0.0822,-0.014657
0.0821,-0.01468
0.082,-0.014686
0.0819,-0.014686
0.0818,-0.014666
0.0817,-0.014634
0.0816,-0.014634
0.0815,-0.01464
0.0814,-0.014649
0.0813,-0.014654
0.0812,-0.014608
0.0811,-0.014617
0.081,-0.01462
0.0809,-0.014634
0.0808,-0.014657
0.0807,-0.014629
0.0806,-0.014637
0.0805,-0.01462
0.0804,-0.01464
0.0803,-0.014672
0.0802,-0.014649
0.0801,-0.014657
0.08,-0.01464
0.0799,-0.014626
0.0798,-0.014643
0.0797,-0.014623
0.0796,-0.014637
0.0795,-0.01468
0.0794,-0.014637
0.0793,-0.014663
0.0792,-0.014683
0.0791,-0.014663
0.079,-0.014626
0.0789,-0.014626
0.0788,-0.014657
0.0787,-0.014637
0.0786,-0.014603
0.0785,-0.014617
0.0784,-0.014631
0.0783,-0.014626
0.0782,-0.014629
0.0781,-0.014663
0.078,-0.014689
0.0779,-0.014686
0.0778,-0.014657
0.0777,-0.014657
0.0776,-0.014649
0.0775,-0.014652
0.0774,-0.01464
0.0773,-0.014654
0.0772,-0.01464
0.0771,-0.014657
0.077,-0.014646
0.0769,-0.014654
0.0768,-0.014643
0.0767,-0.014637
0.0766,-0.014631
0.0765,-0.014649
0.0764,-0.014677
0.0763,-0.014692
0.0762,-0.014634
0.0761,-0.014606
0.076,-0.014603
0.0759,-0.014611
0.0758,-0.014626
0.0757,-0.014637
0.0756,-0.014652
0.0755,-0.014643
0.0754,-0.01462
0.0753,-0.014637
0.0752,-0.014617
0.0751,-0.014614
0.075,-0.014646
0.0749,-0.014617
0.0748,-0.01462
0.0747,-0.01464
0.0746,-0.014649
0.0745,-0.014675
0.0744,-0.014663
0.0743,-0.014666
0.0742,-0.014669
0.0741,-0.014695
0.074,-0.014686
0.0739,-0.014692
0.0738,-0.014669
0.0737,-0.014692
0.0736,-0.014692
0.0735,-0.014652
0.0734,-0.014686
0.0733,-0.014695
0.0732,-0.01468
0.0731,-0.014666
0.073,-0.014663
0.0729,-0.014643
0.0728,-0.014677
0.0727,-0.014672
0.0726,-0.014657
0.0725,-0.014657
0.0724,-0.014669
0.0723,-0.014672
0.0722,-0.014689
0.0721,-0.014654
0.072,-0.014634
0.0719,-0.014672
0.0718,-0.014652
0.0717,-0.014637
0.0716,-0.014666
0.0715,-0.014683
0.0714,-0.01464
0.0713,-0.014675
0.0712,-0.014657
0.0711,-0.014689
0.071,-0.014698
0.0709,-0.014686
0.0708,-0.014672
0.0707,-0.014675
0.0706,-0.014663
0.0705,-0.014677
0.0704,-0.01466
0.0703,-0.014646
0.0702,-0.014663
0.0701,-0.014675
0.07,-0.01468
0.0699,-0.014692
0.0698,-0.014677
0.0697,-0.014675
0.0696,-0.014709
0.0695,-0.014695
0.0694,-0.014723
0.0693,-0.014675
0.0692,-0.014703
0.0691,-0.014698
0.069,-0.014672
0.0689,-0.014706
0.0688,-0.014735
0.0687,-0.014683
0.0686,-0.014672
0.0685,-0.014683
0.0684,-0.014692
0.0683,-0.014686
0.0682,-0.014675
0.0681,-0.014672
0.068,-0.014706
0.0679,-0.014721
0.0678,-0.014715
0.0677,-0.014698
0.0676,-0.014675
0.0675,-0.014692
0.0674,-0.014706
0.0673,-0.014677
0.0672,-0.014689
0.0671,-0.014689
0.067,-0.014672
0.0669,-0.01468
0.0668,-0.014709
0.0667,-0.014698
