Z (um),Deflection (um)
0.0574,-0.01243
0.05725,-0.012413
0.0571,-0.01241
0.05695,-0.012407
0.0568,-0.01239
0.05665,-0.012424
0.0565,-0.012445
0.05635,-0.012442
0.0562,-0.012439
0.05605,-0.01243
0.0559,-0.012416
0.05575,-0.012404
0.0556,-0.012396
0.05545,-0.012399
0.0553,-0.012381
0.05515,-0.012416
0.055,-0.012436
0.05485,-0.012407
0.0547,-0.01241
0.05455,-0.012384
0.0544,-0.012384
0.05425,-0.012439
0.0541,-0.01243
0.05395,-0.012424
0.0538,-0.013106
0.05365,-0.01449
0.0535,-0.014675
0.05335,-0.014764
0.0532,-0.014841
0.05305,-0.014959
0.0529,-0.014994
0.05275,-0.015052
0.0526,-0.01508
0.05245,-0.015129
0.0523,-0.015149
0.05215,-0.015178
0.052,-0.015178
0.05185,-0.015216
0.0517,-0.015236
0.05155,-0.01525
0.0514,-0.015244
0.05125,-0.015302
0.0511,-0.015328
0.05095,-0.015333
0.0508,-0.015365
0.05065,-0.015359
0.0505,-0.01538
0.05035,-0.015417
0.0502,-0.0154
0.05005,-0.015414
0.0499,-0.015397
0.04975,-0.0154
0.0496,-0.01542
0.04945,-0.0154
0.0493,-0.015382
0.04915,-0.015359
0.049,-0.015377
0.04885,-0.015405
0.0487,-0.015374
0.04855,-0.015374
0.0484,-0.015368
0.04825,-0.015362
0.0481,-0.01542
0.04795,-0.015408
0.0478,-0.015339
0.04765,-0.015357
0.0475,-0.015351
0.04735,-0.015305
0.0472,-0.015305
0.04705,-0.015282
0.0469,-0.015273
0.04675,-0.015264
0.0466,-0.015227
0.04645,-0.01521
0.0463,-0.015184
0.04615,-0.015216
0.046,-0.015152
0.04585,-0.015141
0.0457,-0.015132
0.04555,-0.015112
0.0454,-0.015077
0.04525,-0.015069
0.0451,-0.015052
0.04495,-0.01502
0.0448,-0.015031
0.04465,-0.015
0.0445,-0.014994
0.04435,-0.015
0.0442,-0.014962
0.04405,-0.014934
0.0439,-0.014939
0.04375,-0.014867
0.0436,-0.01485
0.04345,-0.014818
0.0433,-0.014841
0.04315,-0.014818
0.043,-0.014735
0.04285,-0.014738
0.0427,-0.014695
0.04255,-0.014643
0.0424,-0.01464
0.04225,-0.014643
0.0421,-0.014608
0.04195,-0.0146
0.0418,-0.014554
0.04165,-0.014554
0.0415,-0.014502
0.04135,-0.01447
0.0412,-0.014433
0.04105,-0.014444
0.0409,-0.014372
0.04075,-0.014347
0.0406,-0.014309
0.04045,-0.014263
0.0403,-0.014257
0.04015,-0.014234
0.04,-0.014177
0.03985,-0.014145
0.0397,-0.014093
0.03955,-0.014082
0.0394,-0.014039
0.03925,-0.013984
0.0391,-0.013978
0.03895,-0.013955
0.0388,-0.013901
0.03865,-0.013909
0.0385,-0.013863
0.03835,-0.013806
0.0382,-0.01376
0.03805,-0.013762
0.0379,-0.013691
0.03775,-0.013644
0.0376,-0.013639
0.03745,-0.01363
0.0373,-0.013561
0.03715,-0.013547
0.037,-0.013489
0.03685,-0.013469
0.0367,-0.013446
0.03655,-0.013417
0.0364,-0.013368
0.03625,-0.013325
0.0361,-0.013296
0.03595,-0.013305
0.0358,-0.013259
0.03565,-0.013178
0.0355,-0.013132
0.03535,-0.013098
0.0352,-0.013034
0.03505,-0.013017
0.0349,-0.013017
0.03475,-0.01287
0.0346,-0.012845
0.03445,-0.012845
0.0343,-0.01281
0.03415,-0.012738
0.034,-0.012732
0.03385,-0.01275
0.0337,-0.012715
0.03355,-0.012614
0.0334,-0.012603
0.03325,-0.01264
0.0331,-0.012545
0.03295,-0.012479
0.0328,-0.012413
0.03265,-0.01237
0.0325,-0.012364
0.03235,-0.012376
0.0322,-0.012295
0.03205,-0.012249
0.0319,-0.012249
0.03175,-0.012148
0.0316,-0.012148
0.03145,-0.012091
0.0313,-0.012065
0.03115,-0.012068
0.031,-0.012073
0.03085,-0.011947
0.0307,-0.011884
0.03055,-0.011832
0.0304,-0.01176
0.03025,-0.011745
0.0301,-0.011702
0.02995,-0.011694
0.0298,-0.011613
0.02965,-0.011573
0.0295,-0.011512
0.02935,-0.011584
0.0292,-0.011576
0.02905,-0.01153
0.0289,-0.011461
0.02875,-0.011423
0.0286,-0.01142
0.02845,-0.011391
0.0283,-0.011311
0.02815,-0.011285
0.028,-0.011262
0.02785,-0.011265
0.0277,-0.011225
0.02755,-0.011153
0.0274,-0.011066
0.02725,-0.011032
0.0271,-0.011026
0.02695,-0.011043
0.0268,-0.010977
0.02665,-0.01092
0.0265,-0.010925
0.02635,-0.010897
0.0262,-0.010853
0.02605,-0.010787
0.0259,-0.010753
0.02575,-0.010684
0.0256,-0.010638
0.02545,-0.010557
0.0253,-0.010537
0.02515,-0.010523
0.025,-0.010479
0.02485,-0.010448
0.0247,-0.010419
0.02455,-0.010359
0.0244,-0.010336
0.02425,-0.010223
0.0241,-0.0102
0.02395,-0.010212
0.0238,-0.0102
0.02365,-0.010203
0.0235,-0.010203
0.02335,-0.010105
0.0232,-0.010148
0.02305,-0.010091
0.0229,-0.010045
0.02275,-0.0099787
0.0226,-0.0099499
0.02245,-0.0099125
0.0223,-0.0098924
0.02215,-0.0099327
0.022,-0.0098377
0.02185,-0.0098348
0.0217,-0.0098233
0.02155,-0.0097715
0.0214,-0.0097169
0.02125,-0.0097054
0.0211,-0.009619
0.02095,-0.0096421
0.0208,-0.0095903
0.02065,-0.0095989
0.0205,-0.00955
0.02035,-0.0095903
0.0202,-0.0095155
0.02005,-0.0094867
0.0199,-0.0094004
0.01975,-0.0094061
0.0196,-0.009386
0.01945,-0.009291
0.0193,-0.0093169
0.01915,-0.0092766
0.019,-0.0092536
0.01885,-0.0092479
0.0187,-0.0091673
0.01855,-0.0091615
0.0184,-0.0090608
0.01825,-0.0090119
0.0181,-0.0089659
0.01795,-0.0089774
0.0178,-0.0089975
0.01765,-0.0089371
0.0175,-0.0088911
0.01735,-0.0089256
0.0172,-0.00894
0.01705,-0.0089227
0.0169,-0.0088652
0.01675,-0.0088767
0.0166,-0.008776
0.01645,-0.0087529
0.0163,-0.0086753
0.01615,-0.0086695
0.016,-0.0086263
0.01585,-0.0085314
0.0157,-0.0085487
0.01555,-0.0085113
0.0154,-0.0084681
0.01525,-0.0084422
0.0151,-0.0083904
